ship,depPort,arrPort,route,scheduled_departure,estimated_departure,actual_departure,scheduled_arrival,estimated_arrival,actual_arrival,departure_delay_hours,scheduled_transit_hours,actual_transit_hours,avg_speed_knots,arrival_delay_hours
Megastar,FIHEL,EETLL,FIHEL → EETLL,2018-07-11 07:30:00+00:00,2018-07-11 07:30:00+00:00,2018-07-11 07:21:08+00:00,2018-07-11 09:30:00+00:00,2018-07-11 09:33:00+00:00,2018-07-11 09:31:00+00:00,-0.14777777777777779,2.0,2.1644444444444444,20.88947368421053,0.016666666666666666
Megastar,FIHEL,EETLL,FIHEL → EETLL,2018-07-11 13:30:00+00:00,2018-07-11 13:30:00+00:00,2018-07-11 13:22:13+00:00,2018-07-11 15:30:00+00:00,2018-07-11 15:36:00+00:00,2018-07-11 15:34:00+00:00,-0.1297222222222222,2.0,2.196388888888889,20.925833333333333,0.06666666666666667
Europa,FIHEL,EETLL,FIHEL → EETLL,2018-07-11 15:30:00+00:00,2018-07-11 15:32:00+00:00,2018-07-11 15:34:45+00:00,2018-07-11 19:00:00+00:00,2018-07-11 18:50:00+00:00,2018-07-11 18:45:00+00:00,0.07916666666666666,3.5,3.1708333333333334,13.880104712041884,-0.25
Star,FIHEL,EETLL,FIHEL → EETLL,2018-07-11 16:30:00+00:00,2018-07-11 16:30:00+00:00,2018-07-11 15:37:21+00:00,2018-07-11 18:30:00+00:00,2018-07-11 18:35:00+00:00,2018-07-11 18:41:00+00:00,-0.8775,2.0,3.0608333333333335,20.25042016806723,0.18333333333333332
Finlandia,EETLL,FIHEL,EETLL → FIHEL,2018-07-12 09:00:00+00:00,2018-07-12 09:08:00+00:00,2018-07-12 09:08:45+00:00,2018-07-12 11:15:00+00:00,2018-07-12 11:27:00+00:00,2018-07-12 11:58:00+00:00,0.14583333333333334,2.25,2.8208333333333333,20.53893129770992,0.7166666666666667
Finlandia,EETLL,FIHEL,EETLL → FIHEL,2018-08-01 09:00:00+00:00,2018-08-01 09:06:00+00:00,2018-08-01 09:06:12+00:00,2018-08-01 11:15:00+00:00,2018-08-01 11:25:00+00:00,2018-08-01 11:52:00+00:00,0.10333333333333333,2.25,2.763333333333333,20.49561403508772,0.6166666666666667
Star,FIHEL,EETLL,FIHEL → EETLL,2018-08-01 10:30:00+00:00,2018-08-01 10:30:00+00:00,2018-08-01 10:22:12+00:00,2018-08-01 12:30:00+00:00,2018-08-01 12:36:00+00:00,2018-08-01 12:39:00+00:00,-0.13,2.0,2.28,20.251239669421487,0.15
Finlandia,FIHEL,EETLL,FIHEL → EETLL,2018-08-01 12:15:00+00:00,2018-08-01 12:15:00+00:00,2018-08-01 12:14:10+00:00,2018-08-01 14:30:00+00:00,2018-08-01 14:34:00+00:00,2018-08-01 14:35:00+00:00,-0.013888888888888888,2.25,2.3472222222222223,18.25,0.08333333333333333
Star,EETLL,FIHEL,EETLL → FIHEL,2018-08-01 13:30:00+00:00,2018-08-01 13:30:00+00:00,2018-08-01 14:15:13+00:00,2018-08-01 15:30:00+00:00,2018-08-01 15:30:00+00:00,2018-08-01 15:30:00+00:00,0.7536111111111111,2.0,1.246388888888889,19.301960784313724,0.0
Finlandia,FIHEL,EETLL,FIHEL → EETLL,2018-08-01 18:40:00+00:00,2018-08-01 19:00:00+00:00,2018-08-01 18:59:38+00:00,2018-08-01 20:50:00+00:00,2018-08-01 21:10:00+00:00,2018-08-01 21:10:00+00:00,0.32722222222222225,2.1666666666666665,2.1727777777777777,22.66576576576577,0.3333333333333333
Star,EETLL,FIHEL,EETLL → FIHEL,2018-08-01 19:30:00+00:00,2018-08-01 19:30:00+00:00,2018-08-01 19:20:13+00:00,2018-08-01 21:30:00+00:00,2018-08-01 21:31:00+00:00,2018-08-01 22:04:00+00:00,-0.16305555555555556,2.0,2.729722222222222,20.33421052631579,0.5666666666666667
Star,EETLL,FIHEL,EETLL → FIHEL,2018-08-02 07:30:00+00:00,2018-08-02 07:30:00+00:00,2018-08-02 07:21:00+00:00,2018-08-02 09:30:00+00:00,2018-08-02 09:33:00+00:00,2018-08-02 09:52:00+00:00,-0.15,2.0,2.5166666666666666,19.23444444444444,0.36666666666666664
Europa,FIHEL,EETLL,FIHEL → EETLL,2018-08-03 15:30:00+00:00,2018-08-03 15:33:00+00:00,2018-08-03 15:33:50+00:00,2018-08-03 19:00:00+00:00,2018-08-03 18:49:00+00:00,2018-08-03 18:56:00+00:00,0.06388888888888888,3.5,3.3694444444444445,13.635042735042736,-0.06666666666666667
Finlandia,FIHEL,EETLL,FIHEL → EETLL,2018-08-03 18:40:00+00:00,2018-08-03 18:47:00+00:00,2018-08-03 18:46:56+00:00,2018-08-03 20:50:00+00:00,2018-08-03 21:07:00+00:00,2018-08-03 21:12:00+00:00,0.11555555555555555,2.1666666666666665,2.417777777777778,22.30762711864407,0.36666666666666664
Star,EETLL,FIHEL,EETLL → FIHEL,2018-08-04 13:30:00+00:00,2018-08-04 13:30:00+00:00,2018-08-04 13:29:58+00:00,2018-08-04 15:30:00+00:00,2018-08-04 15:29:00+00:00,2018-08-04 15:30:00+00:00,-0.0005555555555555556,2.0,2.0005555555555556,20.90235294117647,0.0
Megastar,FIHEL,EETLL,FIHEL → EETLL,2018-08-04 19:30:00+00:00,2018-08-04 19:30:00+00:00,2018-08-04 19:18:14+00:00,2018-08-04 21:30:00+00:00,2018-08-04 21:32:00+00:00,2018-08-04 21:34:00+00:00,-0.19611111111111112,2.0,2.262777777777778,19.143478260869568,0.06666666666666667
Star,FIHEL,EETLL,FIHEL → EETLL,2018-08-05 04:30:00+00:00,2018-08-05 04:30:00+00:00,2018-08-05 04:18:54+00:00,2018-08-05 06:30:00+00:00,2018-08-05 06:32:00+00:00,2018-08-05 06:32:00+00:00,-0.185,2.0,2.2183333333333333,18.9875,0.03333333333333333
Megastar,FIHEL,EETLL,FIHEL → EETLL,2018-08-05 13:30:00+00:00,2018-08-05 13:30:00+00:00,2018-08-05 13:19:36+00:00,2018-08-05 15:30:00+00:00,2018-08-05 15:33:00+00:00,2018-08-05 15:34:00+00:00,-0.17333333333333334,2.0,2.24,20.669565217391305,0.06666666666666667
Megastar,EETLL,FIHEL,EETLL → FIHEL,2018-08-06 04:30:00+00:00,2018-08-06 04:30:00+00:00,2018-08-06 04:20:31+00:00,2018-08-06 06:30:00+00:00,2018-08-06 06:32:00+00:00,2018-08-06 06:52:00+00:00,-0.15805555555555556,2.0,2.524722222222222,21.467826086956524,0.36666666666666664
Finlandia,EETLL,FIHEL,EETLL → FIHEL,2018-08-06 09:00:00+00:00,2018-08-06 09:00:00+00:00,2018-08-06 09:15:06+00:00,2018-08-06 11:15:00+00:00,2018-08-06 11:20:00+00:00,2018-08-06 11:23:00+00:00,0.25166666666666665,2.25,2.131666666666667,21.379591836734694,0.13333333333333333
Star,EETLL,FIHEL,EETLL → FIHEL,2018-08-06 13:30:00+00:00,2018-08-06 13:30:00+00:00,2018-08-06 13:21:57+00:00,2018-08-06 15:30:00+00:00,2018-08-06 15:34:00+00:00,2018-08-06 15:51:00+00:00,-0.13416666666666666,2.0,2.484166666666667,19.520175438596493,0.35
Star,EETLL,FIHEL,EETLL → FIHEL,2018-08-08 07:30:00+00:00,2018-08-08 07:30:00+00:00,2018-08-08 07:19:30+00:00,2018-08-08 09:30:00+00:00,2018-08-08 09:31:00+00:00,2018-08-08 09:51:00+00:00,-0.175,2.0,2.525,18.09638554216868,0.35
Finlandia,FIHEL,EETLL,FIHEL → EETLL,2018-08-08 12:15:00+00:00,2018-08-08 12:30:00+00:00,2018-08-08 12:13:17+00:00,2018-08-08 14:30:00+00:00,2018-08-08 14:32:00+00:00,2018-08-08 14:38:00+00:00,-0.02861111111111111,2.25,2.4119444444444444,19.35882352941176,0.13333333333333333
Megastar,EETLL,FIHEL,EETLL → FIHEL,2018-08-09 04:30:00+00:00,2018-08-09 04:30:00+00:00,2018-08-09 04:21:08+00:00,2018-08-09 06:30:00+00:00,2018-08-09 06:33:00+00:00,2018-08-09 06:51:00+00:00,-0.14777777777777779,2.0,2.497777777777778,20.092660550458717,0.35
Megastar,FIHEL,EETLL,FIHEL → EETLL,2018-08-09 07:30:00+00:00,2018-08-09 07:30:00+00:00,2018-08-09 07:19:21+00:00,2018-08-09 09:30:00+00:00,2018-08-09 09:34:00+00:00,2018-08-09 09:41:00+00:00,-0.1775,2.0,2.3608333333333333,20.754782608695653,0.18333333333333332
Megastar,FIHEL,EETLL,FIHEL → EETLL,2018-08-10 07:30:00+00:00,2018-08-10 07:30:00+00:00,2018-08-10 07:19:42+00:00,2018-08-10 09:30:00+00:00,2018-08-10 09:34:00+00:00,2018-08-10 09:39:00+00:00,-0.17166666666666666,2.0,2.3216666666666668,20.503278688524592,0.15
Star,EETLL,FIHEL,EETLL → FIHEL,2018-08-10 19:30:00+00:00,2018-08-10 19:30:00+00:00,2018-08-10 19:44:40+00:00,2018-08-10 21:30:00+00:00,2018-08-10 21:31:00+00:00,2018-08-10 21:28:00+00:00,0.24444444444444444,2.0,1.7222222222222223,19.62545454545455,-0.03333333333333333
Star,FIHEL,EETLL,FIHEL → EETLL,2018-08-11 10:30:00+00:00,2018-08-11 10:30:00+00:00,2018-08-11 10:21:17+00:00,2018-08-11 12:30:00+00:00,2018-08-11 12:36:00+00:00,2018-08-11 12:40:00+00:00,-0.14527777777777778,2.0,2.3119444444444444,20.722727272727276,0.16666666666666666
Megastar,EETLL,FIHEL,EETLL → FIHEL,2018-08-12 16:30:00+00:00,2018-08-12 16:43:00+00:00,2018-08-12 16:21:10+00:00,2018-08-12 18:30:00+00:00,2018-08-12 18:33:00+00:00,2018-08-12 18:57:00+00:00,-0.14722222222222223,2.0,2.5972222222222223,19.70769230769231,0.45
Star,FIHEL,EETLL,FIHEL → EETLL,2018-09-01 04:30:00+00:00,2018-09-01 04:30:00+00:00,2018-09-01 04:28:15+00:00,2018-09-01 06:30:00+00:00,2018-09-01 06:42:00+00:00,2018-09-01 06:49:00+00:00,-0.029166666666666667,2.0,2.345833333333333,21.109166666666667,0.31666666666666665
Finlandia,EETLL,FIHEL,EETLL → FIHEL,2018-09-02 09:00:00+00:00,2018-09-02 09:07:00+00:00,2018-09-02 09:07:17+00:00,2018-09-02 11:15:00+00:00,2018-09-02 11:25:00+00:00,2018-09-02 11:50:00+00:00,0.1213888888888889,2.25,2.7119444444444443,20.7703125,0.5833333333333334
Star,FIHEL,EETLL,FIHEL → EETLL,2018-09-02 16:30:00+00:00,2018-09-02 16:30:00+00:00,2018-09-02 16:19:25+00:00,2018-09-02 18:30:00+00:00,2018-09-02 18:33:00+00:00,2018-09-02 18:36:00+00:00,-0.1763888888888889,2.0,2.276388888888889,19.71875,0.1
Megastar,FIHEL,EETLL,FIHEL → EETLL,2018-09-03 13:30:00+00:00,2018-09-03 13:30:00+00:00,2018-09-03 13:19:12+00:00,2018-09-03 15:30:00+00:00,2018-09-03 15:34:00+00:00,2018-09-03 15:38:00+00:00,-0.18,2.0,2.3133333333333335,20.49370078740157,0.13333333333333333
Star,EETLL,FIHEL,EETLL → FIHEL,2018-09-03 13:30:00+00:00,2018-09-03 13:30:00+00:00,2018-09-03 13:19:17+00:00,2018-09-03 15:30:00+00:00,2018-09-03 15:31:00+00:00,2018-09-03 15:56:00+00:00,-0.1786111111111111,2.0,2.6119444444444446,18.934615384615384,0.43333333333333335
Star,EETLL,FIHEL,EETLL → FIHEL,2018-09-03 19:30:00+00:00,2018-09-03 19:30:00+00:00,2018-09-03 19:22:16+00:00,2018-09-03 21:30:00+00:00,2018-09-03 21:34:00+00:00,2018-09-03 21:58:00+00:00,-0.1288888888888889,2.0,2.5955555555555554,19.53359375,0.4666666666666667
Finlandia,EETLL,FIHEL,EETLL → FIHEL,2018-09-04 15:30:00+00:00,2018-09-04 15:31:00+00:00,2018-09-04 14:34:49+00:00,2018-09-04 18:00:00+00:00,2018-09-04 17:49:00+00:00,2018-09-04 18:14:00+00:00,-0.9197222222222222,2.5,3.6530555555555555,18.720567375886525,0.23333333333333334
Europa,FIHEL,EETLL,FIHEL → EETLL,2018-09-04 15:30:00+00:00,2018-09-04 15:35:00+00:00,2018-09-04 15:35:16+00:00,2018-09-04 19:00:00+00:00,2018-09-04 18:50:00+00:00,2018-09-04 18:58:00+00:00,0.08777777777777777,3.5,3.378888888888889,14.114973262032086,-0.03333333333333333
Megastar,EETLL,FIHEL,EETLL → FIHEL,2018-09-05 04:30:00+00:00,2018-09-05 04:30:00+00:00,2018-09-05 04:17:50+00:00,2018-09-05 06:30:00+00:00,2018-09-05 06:31:00+00:00,2018-09-05 06:53:00+00:00,-0.20277777777777778,2.0,2.5861111111111112,19.9763358778626,0.38333333333333336
Star,FIHEL,EETLL,FIHEL → EETLL,2018-09-06 10:30:00+00:00,2018-09-06 10:30:00+00:00,2018-09-06 10:19:13+00:00,2018-09-06 12:30:00+00:00,2018-09-06 12:34:00+00:00,2018-09-06 12:30:00+00:00,-0.17972222222222223,2.0,2.1797222222222223,19.93109243697479,0.0
Star,EETLL,FIHEL,EETLL → FIHEL,2018-09-06 19:30:00+00:00,2018-09-06 19:30:00+00:00,2018-09-06 19:22:25+00:00,2018-09-06 21:30:00+00:00,2018-09-06 21:34:00+00:00,2018-09-06 21:53:00+00:00,-0.12638888888888888,2.0,2.5097222222222224,19.39212598425197,0.38333333333333336
Megastar,FIHEL,EETLL,FIHEL → EETLL,2018-09-08 07:30:00+00:00,2018-09-08 07:30:00+00:00,2018-09-08 07:20:59+00:00,2018-09-08 09:30:00+00:00,2018-09-08 09:35:00+00:00,2018-09-08 09:36:00+00:00,-0.1502777777777778,2.0,2.250277777777778,21.42096774193548,0.1
Finlandia,FIHEL,EETLL,FIHEL → EETLL,2018-09-08 12:15:00+00:00,2018-09-08 12:15:00+00:00,2018-09-08 12:06:10+00:00,2018-09-08 14:30:00+00:00,2018-09-08 14:26:00+00:00,2018-09-08 14:34:00+00:00,-0.14722222222222223,2.25,2.463888888888889,19.162142857142857,0.06666666666666667
Megastar,FIHEL,EETLL,FIHEL → EETLL,2018-09-10 07:30:00+00:00,2018-09-10 07:30:00+00:00,2018-09-10 07:20:12+00:00,2018-09-10 09:30:00+00:00,2018-09-10 09:34:00+00:00,2018-09-10 09:43:00+00:00,-0.16333333333333333,2.0,2.38,21.085365853658537,0.21666666666666667
Star,FIHEL,EETLL,FIHEL → EETLL,2018-09-10 10:30:00+00:00,2018-09-10 10:30:00+00:00,2018-09-10 10:20:18+00:00,2018-09-10 12:30:00+00:00,2018-09-10 12:34:00+00:00,2018-09-10 12:39:00+00:00,-0.16166666666666665,2.0,2.3116666666666665,20.445454545454545,0.15
Star,FIHEL,EETLL,FIHEL → EETLL,2018-09-10 16:30:00+00:00,2018-09-10 16:30:00+00:00,2018-09-10 16:19:05+00:00,2018-09-10 18:30:00+00:00,2018-09-10 18:34:00+00:00,2018-09-10 18:37:00+00:00,-0.18194444444444444,2.0,2.298611111111111,20.17478991596639,0.11666666666666667
Finlandia,FIHEL,EETLL,FIHEL → EETLL,2018-09-10 18:40:00+00:00,2018-09-10 18:43:00+00:00,2018-09-10 18:44:07+00:00,2018-09-10 20:50:00+00:00,2018-09-10 21:04:00+00:00,2018-09-10 21:08:00+00:00,0.06861111111111111,2.1666666666666665,2.3980555555555556,21.65322580645161,0.3
Star,FIHEL,EETLL,FIHEL → EETLL,2018-09-11 04:30:00+00:00,2018-09-11 04:30:00+00:00,2018-09-11 04:19:14+00:00,2018-09-11 06:30:00+00:00,2018-09-11 06:34:00+00:00,2018-09-11 06:36:00+00:00,-0.17944444444444443,2.0,2.2794444444444446,20.2968,0.1
Star,FIHEL,EETLL,FIHEL → EETLL,2018-09-11 16:30:00+00:00,2018-09-11 16:30:00+00:00,2018-09-11 15:31:45+00:00,2018-09-11 18:30:00+00:00,2018-09-11 18:34:00+00:00,2018-09-11 18:42:00+00:00,-0.9708333333333333,2.0,3.1708333333333334,19.90472440944882,0.2
Finlandia,EETLL,FIHEL,EETLL → FIHEL,2018-09-12 03:00:00+00:00,2018-09-12 03:00:00+00:00,2018-09-12 02:55:12+00:00,2018-09-12 05:15:00+00:00,2018-09-12 05:13:00+00:00,2018-09-12 05:40:00+00:00,-0.08,2.25,2.7466666666666666,20.15378787878788,0.4166666666666667
Megastar,FIHEL,EETLL,FIHEL → EETLL,2018-09-12 13:30:00+00:00,2018-09-12 13:30:00+00:00,2018-09-12 13:26:15+00:00,2018-09-12 15:30:00+00:00,2018-09-12 15:41:00+00:00,2018-09-12 15:47:00+00:00,-0.0625,2.0,2.345833333333333,21.318487394957984,0.2833333333333333
Star,EETLL,FIHEL,EETLL → FIHEL,2018-10-01 13:30:00+00:00,2018-10-01 13:30:00+00:00,2018-10-01 13:19:10+00:00,2018-10-01 15:30:00+00:00,2018-10-01 15:31:00+00:00,2018-10-01 15:55:00+00:00,-0.18055555555555555,2.0,2.5972222222222223,19.77936507936508,0.4166666666666667
Finlandia,EETLL,FIHEL,EETLL → FIHEL,2018-10-02 15:30:00+00:00,2018-10-02 15:30:00+00:00,2018-10-02 15:30:12+00:00,2018-10-02 18:00:00+00:00,2018-10-02 17:48:00+00:00,2018-10-02 18:16:00+00:00,0.0033333333333333335,2.5,2.763333333333333,18.63611111111111,0.26666666666666666
Megastar,EETLL,FIHEL,EETLL → FIHEL,2018-10-03 04:30:00+00:00,2018-10-03 04:30:00+00:00,2018-10-03 04:18:09+00:00,2018-10-03 06:30:00+00:00,2018-10-03 06:31:00+00:00,2018-10-03 06:59:00+00:00,-0.1975,2.0,2.680833333333333,19.76141732283465,0.48333333333333334
Megastar,FIHEL,EETLL,FIHEL → EETLL,2018-10-03 07:30:00+00:00,2018-10-03 07:30:00+00:00,2018-10-03 07:19:55+00:00,2018-10-03 09:30:00+00:00,2018-10-03 09:34:00+00:00,2018-10-03 09:33:00+00:00,-0.16805555555555557,2.0,2.2180555555555554,20.57033898305085,0.05
Megastar,EETLL,FIHEL,EETLL → FIHEL,2018-10-03 10:30:00+00:00,2018-10-03 10:30:00+00:00,2018-10-03 10:18:39+00:00,2018-10-03 12:30:00+00:00,2018-10-03 12:30:00+00:00,2018-10-03 12:48:00+00:00,-0.18916666666666668,2.0,2.4891666666666667,18.333783783783783,0.3
Megastar,FIHEL,EETLL,FIHEL → EETLL,2018-10-03 13:30:00+00:00,2018-10-03 13:30:00+00:00,2018-10-03 13:20:09+00:00,2018-10-03 15:30:00+00:00,2018-10-03 15:34:00+00:00,2018-10-03 15:42:00+00:00,-0.16416666666666666,2.0,2.3641666666666667,20.595726495726492,0.2
Finlandia,EETLL,FIHEL,EETLL → FIHEL,2018-10-03 15:30:00+00:00,2018-10-03 15:30:00+00:00,2018-10-03 15:30:45+00:00,2018-10-03 18:00:00+00:00,2018-10-03 17:49:00+00:00,2018-10-03 18:25:00+00:00,0.0125,2.5,2.904166666666667,18.77446808510638,0.4166666666666667
Star,EETLL,FIHEL,EETLL → FIHEL,2018-10-03 19:30:00+00:00,2018-10-03 19:30:00+00:00,2018-10-03 19:30:15+00:00,2018-10-03 21:30:00+00:00,2018-10-03 21:42:00+00:00,2018-10-03 22:07:00+00:00,0.004166666666666667,2.0,2.6125,21.38974358974359,0.6166666666666667
Finlandia,FIHEL,EETLL,FIHEL → EETLL,2018-10-05 12:15:00+00:00,2018-10-05 12:15:00+00:00,2018-10-05 11:23:09+00:00,2018-10-05 14:30:00+00:00,2018-10-05 14:29:00+00:00,2018-10-05 14:37:00+00:00,-0.8641666666666666,2.25,3.2308333333333334,18.760431654676257,0.11666666666666667
Megastar,FIHEL,EETLL,FIHEL → EETLL,2018-10-05 13:30:00+00:00,2018-10-05 13:30:00+00:00,2018-10-05 13:21:51+00:00,2018-10-05 15:30:00+00:00,2018-10-05 15:36:00+00:00,2018-10-05 15:42:00+00:00,-0.13583333333333333,2.0,2.3358333333333334,21.539285714285715,0.2
Star,FIHEL,EETLL,FIHEL → EETLL,2018-10-05 16:30:00+00:00,2018-10-05 16:30:00+00:00,2018-10-05 16:22:19+00:00,2018-10-05 18:30:00+00:00,2018-10-05 18:34:00+00:00,2018-10-05 18:29:00+00:00,-0.12805555555555556,2.0,2.111388888888889,20.466666666666665,-0.016666666666666666
Finlandia,EETLL,FIHEL,EETLL → FIHEL,2018-10-06 09:00:00+00:00,2018-10-06 09:00:00+00:00,2018-10-06 08:57:46+00:00,2018-10-06 11:15:00+00:00,2018-10-06 11:16:00+00:00,2018-10-06 11:50:00+00:00,-0.03722222222222222,2.25,2.8705555555555557,19.68582089552239,0.5833333333333334
Megastar,FIHEL,EETLL,FIHEL → EETLL,2018-10-08 07:30:00+00:00,2018-10-08 07:30:00+00:00,2018-10-08 07:21:21+00:00,2018-10-08 09:30:00+00:00,2018-10-08 09:35:00+00:00,2018-10-08 09:36:00+00:00,-0.14416666666666667,2.0,2.2441666666666666,21.44561403508772,0.1
Megastar,FIHEL,EETLL,FIHEL → EETLL,2018-10-08 13:30:00+00:00,2018-10-08 13:30:00+00:00,2018-10-08 13:18:54+00:00,2018-10-08 15:30:00+00:00,2018-10-08 15:33:00+00:00,2018-10-08 15:34:00+00:00,-0.185,2.0,2.2516666666666665,21.392241379310345,0.06666666666666667
Megastar,FIHEL,EETLL,FIHEL → EETLL,2018-10-10 07:30:00+00:00,2018-10-10 07:30:00+00:00,2018-10-10 07:18:42+00:00,2018-10-10 09:30:00+00:00,2018-10-10 09:33:00+00:00,2018-10-10 09:36:00+00:00,-0.18833333333333332,2.0,2.2883333333333336,20.4696,0.1
Finlandia,FIHEL,EETLL,FIHEL → EETLL,2018-10-10 12:15:00+00:00,2018-10-10 12:15:00+00:00,2018-10-10 11:16:13+00:00,2018-10-10 14:30:00+00:00,2018-10-10 14:23:00+00:00,2018-10-10 14:32:00+00:00,-0.9797222222222223,2.25,3.2630555555555554,18.383458646616543,0.03333333333333333
Star,EETLL,FIHEL,EETLL → FIHEL,2018-10-10 19:30:00+00:00,2018-10-10 19:30:00+00:00,2018-10-10 19:23:09+00:00,2018-10-10 21:30:00+00:00,2018-10-10 21:35:00+00:00,2018-10-10 21:49:00+00:00,-0.11416666666666667,2.0,2.430833333333333,20.585245901639347,0.31666666666666665
Megastar,FIHEL,EETLL,FIHEL → EETLL,2018-10-11 07:30:00+00:00,2018-10-11 07:30:00+00:00,2018-10-11 07:20:17+00:00,2018-10-11 09:30:00+00:00,2018-10-11 09:33:00+00:00,2018-10-11 09:37:00+00:00,-0.16194444444444445,2.0,2.278611111111111,20.67419354838709,0.11666666666666667
Megastar,EETLL,FIHEL,EETLL → FIHEL,2018-10-11 16:30:00+00:00,2018-10-11 16:30:00+00:00,2018-10-11 16:18:55+00:00,2018-10-11 18:30:00+00:00,2018-10-11 18:31:00+00:00,2018-10-11 18:54:00+00:00,-0.18472222222222223,2.0,2.584722222222222,20.158461538461538,0.4
Star,EETLL,FIHEL,EETLL → FIHEL,2018-10-11 19:30:00+00:00,2018-10-11 19:30:00+00:00,2018-10-11 19:21:14+00:00,2018-10-11 21:30:00+00:00,2018-10-11 21:33:00+00:00,2018-10-11 21:53:00+00:00,-0.1461111111111111,2.0,2.5294444444444446,20.03809523809524,0.38333333333333336
Megastar,EETLL,FIHEL,EETLL → FIHEL,2018-11-01 05:30:00+00:00,2018-11-01 05:30:00+00:00,2018-11-01 05:20:05+00:00,2018-11-01 07:30:00+00:00,2018-11-01 07:33:00+00:00,2018-11-01 07:57:00+00:00,-0.16527777777777777,2.0,2.6152777777777776,20.016153846153845,0.45
Star,FIHEL,EETLL,FIHEL → EETLL,2018-11-01 11:30:00+00:00,2018-11-01 11:30:00+00:00,2018-11-01 11:20:17+00:00,2018-11-01 13:30:00+00:00,2018-11-01 13:32:00+00:00,2018-11-01 13:37:00+00:00,-0.16194444444444445,2.0,2.278611111111111,20.71746031746032,0.11666666666666667
Finlandia,FIHEL,EETLL,FIHEL → EETLL,2018-11-01 13:15:00+00:00,2018-11-01 13:16:00+00:00,2018-11-01 13:17:08+00:00,2018-11-01 15:30:00+00:00,2018-11-01 15:25:00+00:00,2018-11-01 15:31:00+00:00,0.035555555555555556,2.25,2.2311111111111113,20.286614173228347,0.016666666666666666
Megastar,EETLL,FIHEL,EETLL → FIHEL,2018-11-02 05:30:00+00:00,2018-11-02 05:30:00+00:00,2018-11-02 05:17:46+00:00,2018-11-02 07:30:00+00:00,2018-11-02 07:32:00+00:00,2018-11-02 07:55:00+00:00,-0.2038888888888889,2.0,2.6205555555555557,19.61846153846154,0.4166666666666667
Star,FIHEL,EETLL,FIHEL → EETLL,2018-11-02 05:30:00+00:00,2018-11-02 05:30:00+00:00,2018-11-02 05:20:12+00:00,2018-11-02 07:30:00+00:00,2018-11-02 07:32:00+00:00,2018-11-02 07:33:00+00:00,-0.16333333333333333,2.0,2.2133333333333334,20.287401574803148,0.05
Finlandia,EETLL,FIHEL,EETLL → FIHEL,2018-11-04 16:30:00+00:00,2018-11-04 16:33:00+00:00,2018-11-04 16:35:09+00:00,2018-11-04 19:00:00+00:00,2018-11-04 18:49:00+00:00,2018-11-04 19:15:00+00:00,0.08583333333333333,2.5,2.6641666666666666,19.5,0.25
Megastar,FIHEL,EETLL,FIHEL → EETLL,2018-11-06 14:30:00+00:00,2018-11-06 14:30:00+00:00,2018-11-06 14:18:53+00:00,2018-11-06 16:30:00+00:00,2018-11-06 16:26:00+00:00,2018-11-06 16:22:00+00:00,-0.1852777777777778,2.0,2.0519444444444446,21.008196721311474,-0.13333333333333333
Megastar,EETLL,FIHEL,EETLL → FIHEL,2018-11-07 05:30:00+00:00,2018-11-07 05:30:00+00:00,2018-11-07 05:18:27+00:00,2018-11-07 07:30:00+00:00,2018-11-07 07:30:00+00:00,2018-11-07 07:58:00+00:00,-0.1925,2.0,2.6591666666666667,20.07109375,0.4666666666666667
Star,FIHEL,EETLL,FIHEL → EETLL,2018-11-07 11:30:00+00:00,2018-11-07 11:30:00+00:00,2018-11-07 11:19:20+00:00,2018-11-07 13:30:00+00:00,2018-11-07 13:30:00+00:00,2018-11-07 13:36:00+00:00,-0.17777777777777778,2.0,2.2777777777777777,20.43359375,0.1
Megastar,FIHEL,EETLL,FIHEL → EETLL,2018-11-07 20:30:00+00:00,2018-11-07 20:30:00+00:00,2018-11-07 20:18:11+00:00,2018-11-07 22:30:00+00:00,2018-11-07 22:26:00+00:00,2018-11-07 22:35:00+00:00,-0.19694444444444445,2.0,2.2802777777777776,20.83223140495868,0.08333333333333333
Star,FIHEL,EETLL,FIHEL → EETLL,2018-11-08 05:30:00+00:00,2018-11-08 05:30:00+00:00,2018-11-08 05:18:11+00:00,2018-11-08 07:30:00+00:00,2018-11-08 07:29:00+00:00,2018-11-08 07:33:00+00:00,-0.19694444444444445,2.0,2.2469444444444444,20.05390625,0.05
Finlandia,FIHEL,EETLL,FIHEL → EETLL,2018-11-08 19:40:00+00:00,2018-11-08 19:41:00+00:00,2018-11-08 19:41:11+00:00,2018-11-08 21:50:00+00:00,2018-11-08 21:50:00+00:00,2018-11-08 21:51:00+00:00,0.01972222222222222,2.1666666666666665,2.163611111111111,21.347619047619048,0.016666666666666666
Finlandia,EETLL,FIHEL,EETLL → FIHEL,2018-11-10 04:00:00+00:00,2018-11-10 04:00:00+00:00,2018-11-10 03:52:00+00:00,2018-11-10 06:15:00+00:00,2018-11-10 06:06:00+00:00,2018-11-10 06:35:00+00:00,-0.13333333333333333,2.25,2.716666666666667,19.281159420289857,0.3333333333333333
Megastar,FIHEL,EETLL,FIHEL → EETLL,2018-11-10 20:30:00+00:00,2018-11-10 20:30:00+00:00,2018-11-10 20:19:59+00:00,2018-11-10 22:30:00+00:00,2018-11-10 22:28:00+00:00,2018-11-10 22:40:00+00:00,-0.16694444444444445,2.0,2.3336111111111113,19.881818181818183,0.16666666666666666
